timestamp,puechabon_rainfall (mm),puechabon_evapotranspiration (mm),puechabon_air_temperature_average (°C),puechabon_soil_temperature (°C)
2000-08-12 01:00:00,51.4,30.8529111490449,21.2402317280645,19.8672125149343
2000-09-09 01:00:00,121.5,31.4736967626218,17.31458382285,17.7521095679012
2000-10-07 01:00:00,53.5,37.2430074922898,13.3206162331129,14.3026724910394
2000-11-04 00:00:00,52.8,23.0377331463361,9.17204816118333,10.6562697901146
2000-12-02 00:00:00,159.5,17.1732154235846,8.5966417253871,9.36160985448695
2000-12-30 00:00:00,185.5,13.4419541418081,7.24674867659677,7.08481474014337
2001-01-27 00:00:00,25.5,25.4095581551316,7.92136116196428,7.44329501488095
2001-02-24 00:00:00,104,38.3021588944541,10.5364673527097,9.88626612903226
2001-03-24 00:00:00,32.5,43.173175400798,10.9869253384167,11.032048485986
2001-04-21 01:00:00,54.5,54.909833078195,15.8416262332742,14.6999775985663
2001-05-19 01:00:00,52.5,66.6711437263437,18.5122147156,18.0989583333333
2001-06-16 01:00:00,23,41.9801940515919,20.9978423953548,20.2974369113112
2001-08-11 01:00:00,46,33.4873496059966,21.3936840498226,21.2274686379928
2001-09-08 01:00:00,99.5,20.2330081853948,16.0946266635333,17.6308171296296
2001-10-06 01:00:00,154.5,29.273516428628,15.4903862373065,15.988810483871
2001-11-03 00:00:00,38.5,31.4772480950722,8.1789196675,10.1080009259259
2001-12-01 00:00:00,2.5,13.4792261453611,4.41367601364516,6.30748028673835
2001-12-29 00:00:00,25,15.3563202758727,5.79946168014516,6.28263261648746
2002-01-26 00:00:00,69.7,24.9060210986448,8.79635643308928,8.29487251984127
2002-02-23 00:00:00,44.2,37.4304068813993,10.0314389538065,9.82794220430108
2002-03-23 00:00:00,66.5,40.2402048868891,11.9233097302333,11.9203310185185
2002-04-20 01:00:00,74.8,66.0842063513881,14.4972829861935,13.9376187275986
2002-05-18 01:00:00,52,89.9652542294031,18.9340200555167,17.8627893518519
2002-07-13 01:00:00,14.4,49.2439547347318,20.5287811523065,20.2630085125448
2002-08-10 01:00:00,88,32.9641865650138,20.0305723536774,20.1470116487455
2002-09-07 01:00:00,52,52.025330597593,16.0660250122833,17.3121527777778
2002-10-05 01:00:00,177,35.9737412325631,10.8786747751774,14.5436783154122
2002-11-02 00:00:00,99.5,26.4255954869904,9.0210982314,11.8645902777778
2002-11-30 00:00:00,360,14.0650576147587,6.38722483198387,8.20207347670251
2002-12-28 00:00:00,30.1,13.5820115931869,4.06078659612903,5.70055801971326
2003-01-25 00:00:00,115.9,7.64528357245049,3.89440226303571,4.87899875992063
2003-02-22 00:00:00,15.4,20.2524538678647,9.05063423887097,8.31247558243728
2003-03-22 00:00:00,142.7,33.829854350191,11.1976367541667,10.4972909722222
2003-04-19 01:00:00,32.3,54.7758589710363,16.6496579783871,14.7689919354839
2003-05-17 01:00:00,5.8,57.5084020804622,23.6137850700867,20.4605632716049
2003-07-12 01:00:00,7.1,33.6590221373655,24.50974988,22.1345452508961
2003-08-09 01:00:00,36.7,39.446451882287,26.6990751345161,23.5135663082437
2003-09-06 01:00:00,150.5,38.1890115798644,17.9421141186667,18.2695092592593
2003-10-04 01:00:00,166.2,30.609743830878,12.1011906543548,13.9049843189964
2003-11-01 00:00:00,307.9,15.5163951199698,9.47427782733334,10.6136412037037
2003-11-29 00:00:00,299.5,15.843700973452,6.30950875387097,7.88205241935484
2003-12-27 00:00:00,64.842,21.3857706002005,5.53084970564516,6.469125
2004-01-24 00:00:00,72.114,21.5337685190579,5.19671948982759,6.34513505747126
2004-02-21 00:00:00,174.122,25.5016602623824,7.58236808951613,7.41757235663082
2004-03-20 00:00:00,154.328,36.3719349580675,10.8095152661667,10.4054490740741
2004-04-17 01:00:00,33.734,46.131053503797,14.4466754266129,13.2430981182796
2004-06-12 01:00:00,46.262,63.0465598076611,20.6056532241667,17.9227824074074
2004-07-10 01:00:00,5.05,36.4068718858278,22.2796369462903,20.3885327060932
2004-08-07 01:00:00,100.196,56.0545299860837,21.390233801129,20.2833400537634
2004-09-04 01:00:00,107.262,48.817243477764,18.4274046926667,17.9967824074074
2004-10-02 01:00:00,125.244,19.3887817253281,14.6288472670968,15.6114538530466
2004-10-30 01:00:00,28.078,23.8642955677333,8.29790823516666,10.2208125
2004-11-27 00:00:00,78.376,15.9153145155356,6.18900117951613,7.58135785631457
2004-12-25 00:00:00,7.474,16.200254715133,5.28447024032258,6.57668010752688
2005-01-22 00:00:00,33.734,15.6639158261062,3.52056286071429,4.93487251984127
2005-02-19 00:00:00,27.27,23.2792680901004,7.43379573064516,6.88471908602151
2005-03-19 00:00:00,51.304,45.811189278575,11.5497731333333,10.6963240740741
2005-04-16 01:00:00,32.32,50.7954248863555,16.527279016129,14.8549507168459
2005-06-11 01:00:00,94.134,54.3305214258439,21.8086012166667,19.2241066919192
2005-07-09 01:00:00,7.878,39.4742971899301,22.9188668548387,21.4635707885305
2005-08-06 01:00:00,14.342,23.5155061230156,21.8278082903226,20.7751792114695
2005-09-03 01:00:00,255.2504,31.6377602405836,18.62542905,18.1993148148148
2005-10-01 01:00:00,227.854,16.5222174701259,14.7996764677419,15.6108019713262
2005-10-29 01:00:00,73.73,19.534638946447,7.92453175833333,10.5500583333333
2005-11-26 00:00:00,6.868,8.94098685888479,2.84808660322581,5.28901276881721
2005-12-24 00:00:00,261,10.079203435068,4.16789661935484,4.69350380824373
2006-01-21 00:00:00,9.8,15.7374033594577,4.75692851071429,4.91689558531746
